io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,64
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,65
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,66
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,67
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,68
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,42
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,59
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,60
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,61
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,62
io.swagger.jaxrs2.annotations.parameters.ParametersTest,source,63
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,64
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,65
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,66
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,67
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,68
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,59
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,60
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,61
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,62
io.swagger.jaxrs2.annotations.parameters.ParametersTest,sink,63
